objectid,title,creator,specific_date,date,description,subject,location,latitude,longitude,source,identifier,type,specific_format,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,finding_aid,visibility,extent
j9602431z,Red Cross Parade Photograph,,,,Note on back reads: Grace Barneberg Photograph,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 30 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-30-02,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/653e164a0c1df986a4c42918fc3a0b647661551d/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/653e164a0c1df986a4c42918fc3a0b647661551d/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/653e164a0c1df986a4c42918fc3a0b647661551d/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
wp988p95c,Red Cross Parade Photograph,,,,Note on back reads: Grace Barneberg Photo Monterey St. Civic Auditorium in background,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 30 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-2-g-01-30-03,Image,Photographic print,image/jpeg,,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6f9961ca8782722a68df8efeb97f4d4aa75acd98/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6f9961ca8782722a68df8efeb97f4d4aa75acd98/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/6f9961ca8782722a68df8efeb97f4d4aa75acd98/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
k0698c41b,"Correspondence Lorbeer to Barneberg, 1924",Mrs. J.B. Lorbeer,1924-09-05,1924-09-05,Letter regarding the formation and federation of a women's club in San Luis Obispo (to become the Monday Club),,"Santa Monica, California, United States",,,"MS0002-- BOX 1-- FOLDER 31 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-a-01-31-01,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/0r967721p,,https://archives.calstate.edu/downloads/0r967721p?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
6h440x080,"Correspondence Toll to Barneberg Sept. 12, 1924",Eleanor J. Toll,1924-09-12,1924-09-12,"Letter, Sept. 12, 1924 regarding the formation and federation of a women's club in San Luis Obispo (to become the Monday Club)",,"Glendale, California, United States",,,"MS0002-- BOX 1-- FOLDER 32 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-a-01-32-01,Text,Letter,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/5f3ee88332dd9135789f27901068fe72842e3ac1/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/5f3ee88332dd9135789f27901068fe72842e3ac1/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/5f3ee88332dd9135789f27901068fe72842e3ac1/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
wp988p501,"Correspondence Toll to Barneberg Sept. 18, 1924",Eleanor J. Toll,1924-09-12,1924-09-12,"Letter, Sept. 18, 1924 regarding the formation and federation of a women's club in San Luis Obispo (to become the Monday Club)",,"Glendale, California, United States",,,"MS0002-- BOX 1-- FOLDER 32 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-a-01-32-02,Text,Letter,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/c0fd6d4556d78cdd7950bd56437f2b25f30bf4e5/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/c0fd6d4556d78cdd7950bd56437f2b25f30bf4e5/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/c0fd6d4556d78cdd7950bd56437f2b25f30bf4e5/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
nc580q79j,Monday Club Directory Listing C.A. Federation of Women's Clubs 1926,,1905-04-09,1905-04-09,Form filled out to register the Monday club with the California Federation of Women's Clubs.,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 33 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-a-01-33-01,Text,Document,image/jpeg,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,image,https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/e3b159d8aff12dcd1f9a273cb4cd04b1532d3a7b/full/max/0/default.jpg,"https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/e3b159d8aff12dcd1f9a273cb4cd04b1532d3a7b/full/800,/0/default.jpg","https://6cff3iwnwia62qiqak74dkfsku0fwjsd.lambda-url.us-west-2.on.aws/iiif/2/e3b159d8aff12dcd1f9a273cb4cd04b1532d3a7b/full/450,/0/default.jpg",,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
rn301523w,Forward for the Coming Year,,1924-05-09,1924-05-09,"Monday Club Meeting Notes May 9, 1924, regarding plans for the upcoming year 1925.",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 34 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-b-01-34-01,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/9g54xn59m,,https://archives.calstate.edu/downloads/9g54xn59m?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
n870zv084,Luncheon,,1927-10-07,1927-10-07,"Monday Club Notes Oct. 7, 1927",,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 34 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-b-01-34-02,Text,Letter,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/8w32r937z,,https://archives.calstate.edu/downloads/8w32r937z?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
s7526h05k,Miscellaneous Notes,,,,,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 34 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-b-01-34-03,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/qr46r460j,,https://archives.calstate.edu/downloads/qr46r460j?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
mp48sh733,Monday Club Building Fund Card,Monday Club,,,Card for San Luis Service Station for the Building Fund of the Monday Club. Back contains a baking recipe.,,"San Luis Obispo, California, United States",,,"MS0002-- BOX 1-- FOLDER 35 Grace E. Barneburg Papers, Cal Poly Kennedy Library Special Collections and Archives",002-3-c-01-35-01,Text,Document,application/pdf,eng,Notice regarding copyright of materials available online: http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright,,pdf,https://archives.calstate.edu/downloads/3f4628830,,https://archives.calstate.edu/downloads/3f4628830?file=thumbnail,,,http://www.oac.cdlib.org/findaid/ark:/13030/c8tq632m/,open,
